관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,데이터기준일자,,
서울극장,공연장,서울  종로구 관수동  돈화문로 13,,37.56986758,126.9918078,,,,,,,,,,,,,
브레이크 아웃 전용극장,공연장,서울  종로구 관철동  삼일대로 386 시네코아빌딩 9층,,37.6118922,126.9880891,,,,,,,,,,,,,
노화랑,미술관,서울  종로구 관훈동 103 ),,37.58045239,126.9839998,,,,,,,,,,,,,
갤러리 가이아,미술관,서울  종로구 관훈동 145           ),,37.604561,126.9834808,,,,,,,,,,,,,
동덕아트갤러리,미술관,서울  종로구 관훈동 151-4  동덕빌딩 B1 동덕아트갤러리,,37.58214037,126.983169,,,,,,,,,,,,,
동덕아트갤러리,미술관,서울  종로구 관훈동 151-4 ),,37.600016,126.9833114,,,,,,,,,,,,,
김영섭사진화랑,미술관,서울  종로구 관훈동 169-2,,37.57489958,126.984188,,,,,,,,,,,,,
갤러리 아트사이드,미술관,서울  종로구 관훈동 170 ),,37.58016533,126.9843332,,,,,,,,,,,,,
한국공예문화진흥원,미술관,서울  종로구 관훈동 182-2 ),,37.573542,126.9841581,,,,,,,,,,,,,
토포하우스,미술관,서울  종로구 관훈동 184 ),,37.583986,126.984313,,,,,,,,,,,,,
갤러리 룩스,미술관,서울  종로구 관훈동 185 ),,37.58043197,126.9678458,,,,,,,,,,,,,
인사아트센터,미술관,서울  종로구 관훈동 188 ),,37.584425,126.9846706,,,,,,,,,,,,,
가나아트스페이스,미술관,서울  종로구 관훈동 188-0 ),,37.608605,126.983913,,,,,,,,,,,,,
보나장신구 박물관,박물관/기념관,서울  종로구 관훈동 192-10 ),,37.580936,126.9845298,,,,,,,,,,,,,
관훈갤러리,미술관,서울  종로구 관훈동 195 ),,37.57980578,126.9842614,,,,,,,,,,,,,
동서화랑,미술관,서울  종로구 관훈동 196-3 ),,37.59950405,126.9846,,,,,,,,,,,,,
동호갤러리,미술관,서울  종로구 관훈동 197-18 ),,37.5937185,126.9852158,,,,,,,,,,,,,
인사아트프라자갤러리,미술관,서울  종로구 관훈동 21 ),,37.5715019,126.9856112,,,,,,,,,,,,,
단성갤러리,미술관,서울  종로구 관훈동 27-5 ),,37.573843,126.9852786,,,,,,,,,,,,,
경인미술관,미술관,서울  종로구 관훈동 30-1 ),,37.61058485,126.9855213,,,,,,,,,,,,,
가람화랑,미술관,서울  종로구 관훈동 30-10 ),,37.58490549,126.985575,,,,,,,,,,,,,
갤러리 선앤문,미술관,서울  종로구 관훈동 30-9 ),,37.58780091,126.9857422,,,,,,,,,,,,,
갤러리미즈,미술관,서울  종로구 관훈동 37 ),,37.58045239,126.9851335,,,,,,,,,,,,,
삼성출판박물관,박물관/기념관,서울  종로구 구기동 126-4 ),,37.58722985,126.9570848,,,,,,,,,,,,,
대안공간 풀,미술관,서울  종로구 구기동 56-13 ),,37.57862929,126.9592138,,,,,,,,,,,,,
돈화문 서울무형문화재교육전시장,문화예술회관,서울  종로구 권농동 127-4 ),,37.57323807,126.991089,,,,,,,,,,,,,
서울 아트 시네마,공연장,서울  종로구 낙원동  삼일대로 428,,37.58716156,126.9918633,,,,,,,,,,,,,
중국문화원,문화원,서울  종로구 내자동 200 ),,37.57746518,126.9713625,,,,,,,,,,,,,
갈갈이홀,공연장,서울  종로구 동숭동 1-100 ),,37.57651443,127.0035186,,,,,,,,,,,,,
샘터 파랑새 극장,공연장,서울  종로구 동숭동 1-115 ),,37.61162656,127.0023112,,,,,,,,,,,,,
아르코미술관,미술관,서울  종로구 동숭동 1-130,,37.57350943,127.0029797,,,,,,,,,,,,,
문예진흥원 아르코미술관,미술관,서울  종로구 동숭동 1-130 ),,37.57184786,127.0032407,,,,,,,,,,,,,
소극장아리랑,공연장,서울  종로구 동숭동 1-153 ),,37.57776184,127.0042515,,,,,,,,,,,,,
단막극장,공연장,서울  종로구 동숭동 12-6 ),,37.58050139,127.004427,,,,,,,,,,,,,
동숭아트센터,공연장,서울  종로구 동숭동 1-5 ),,37.57946209,127.0036762,,,,,,,,,,,,,
대학로예술극장,공연장,서울  종로구 동숭동 1-67  대학로10길 17,,37.56969128,127.0032662,,,,,,,,,,,,,
대학로문화공간,공연장,서울  종로구 동숭동 1-75 ),,37.56986758,127.0036504,,,,,,,,,,,,,
학전GREEN소극장,공연장,서울  종로구 동숭동 1-8 ),,37.58937855,127.0030173,,,,,,,,,,,,,
쇳대박물관,박물관/기념관,서울  종로구 동숭동 187-8 ),,37.61212012,127.0046195,,,,,,,,,,,,,
까망소극장,공연장,서울  종로구 동숭동 1-89 ),,37.577059,127.0040346,,,,,,,,,,,,,
동키홀,공연장,서울  종로구 동숭동 1-96 ),,37.59408714,127.003706,,,,,,,,,,,,,
선돌극장,공연장,서울  종로구 명륜1가 46-11     ),,37.56964296,126.999713,,,,,,,,,,,,,
대학로 열린 극장,공연장,서울  종로구 명륜2가 21-18 ),,37.57750352,127.0004798,,,,,,,,,,,,,
판타지움,공연장,서울  종로구 명륜2가 41-9 ),,,126.9998563,,,,,,,,,,,,,
예술극장 <나무와 물>,공연장,서울  종로구 명륜2가 8-1 ),,,127.0003713,,,,,,,,,,,,,
짚?풀 생활사박물관,박물관/기념관,서울  종로구 명륜2가 8-4 ),,,126.9997938,,,,,,,,,,,,,
서울연극센터,공연장,서울  종로구 명륜4가 ),,,127.0013025,,,,,,,,,,,,,
단성사,공연장,서울  종로구 묘동 56 ),,,126.9926518,,,,,,,,,,,,,
부암아트홀,공연장,서울  종로구 부암동 208-71 ),,,126.9641028,,,,,,,,,,,,,
환기미술관,미술관,서울  종로구 부암동 210-8 ),,,126.9661218,,,,,,,,,,,,,
무계원,문화원,서울  종로구 부암동 315-3    (창의문로 5가길 2),,,126.9634368,,,,,,,,,,,,,
갤러리 현대,미술관,서울  종로구 사간동 122 ),,,126.979825,,,,,,,,,,,,,
종로문화원,문화원,서울  종로구 사간동 122-4,,,126.9803283,,,,,,,,,,,,,
금호미술관,미술관,서울  종로구 사간동 78 ),,,126.9798243,,,,,,,,,,,,,
어린이도서관,도서관,서울  종로구 사직동  사직로9길 7,,,126.9678698,,,,,,,,,,,,,
종로도서관,도서관,서울  종로구 사직동 1-28 ),,,126.9664576,,,,,,,,,,,,,
전통연희상설극장 광화문아트홀,공연장,서울  종로구 사직동 284-1  광화문아트홀,,,126.9624155,,,,,,,,,,,,,
종로문화체육센터,기타,서울  종로구 사직동 284-1 ),,,126.9646523,,,,,,,,,,,,,
한국사회과학도서관,도서관,서울  종로구 사직동 304-28 ),,,126.96442,,,,,,,,,,,,,
부엉이 박물관,박물관/기념관,서울  종로구 삼청동 27-21 ),,,126.9829594,,,,,,,,,,,,,
국립현대미술관 서울관,미술관,서울  종로구 삼청로 30,,,126.980363,,,,,,,,,,,,,
서울역사박물관,박물관/기념관,서울  종로구 새문안로 55,,,126.9704375,,,,,,,,,,,,,
아트센터 나비,미술관,서울  종로구 서린동  종로 26 SK 본사빌딩 4층,,,126.9804918,,,,,,,,,,,,,
국립민속박물관,박물관/기념관,서울  종로구 세종로 1-1 ),,,126.9789313,,,,,,,,,,,,,
신문박물관,박물관/기념관,서울  종로구 세종로 139,,,126.9776744,,,,,,,,,,,,,
일민미술관,미술관,서울  종로구 세종로 139,,,126.9776751,,,,,,,,,,,,,
국립고궁박물관,박물관/기념관,서울  종로구 세종로 1-57  ),,,126.9749224,,,,,,,,,,,,,
