관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
97,강원,속초시,콘도미니엄,설악온천리조트 앤 호텔,주식회사 에스티엔알,영업중,,,지하2~지상6,-,"1,620 ",219 ,강원도 속초시 관광로408번길 23 (노학동),
98,강원,속초시,콘도미니엄,(주)현대수콘도미니엄,주식회사현대훼미리타운(대표이사권민덕),영업중,,,지하1~지상10,"37,485 ","5,999 ",475 ,"강원도 속초시 이목로 153, 현대훼미리타운콘도미니엄 (노학동)","기념품점, 음식점, 편의점, 오락실, 노래방 등"
99,강원,속초시,콘도미니엄,금호리조트(주)설악,금호리조트 주식회사,영업중,,,지하2~지상9,"3,789 ","28,426 ",247 ,강원도 속초시 사당골길 43 (노학동),"음식점, 라운지, 커피숍, 체력단련실, 편의점 등"
100,강원,속초시,콘도미니엄,연호콘도미니엄,주식회사 연호콘도미니엄,영업중,,,지하2~지상10,"7,738 ","14,253 ",119 ,강원도 속초시 싸리재길 247-20 (노학동),카페
101,강원,속초시,콘도미니엄,(주)이랜드파크 한국콘도 설악,주식회사 이랜드파크,휴업,,,지하1~지상3,-,"3,990 ",141 ,강원도 속초시 설악산로 852-8 (설악동),
102,강원,속초시,콘도미니엄,더클래스300콘도미니엄,더클래스호텔 주식회사,영업중,,,지하1~지상15,"1,096 ",848 ,120 ,강원도 속초시 동해대로 3919 (조양동),"연회장, 음식점, 카페 등"
103,강원,속초시,콘도미니엄,롯데리조트 속초,주식회사 호텔롯데,영업중,,,지하3~지상9,"67,291 ","11,430 ",219 ,"강원도 속초시 대포항길 186, 롯데리조트속초 (대포동)","음식점, 카페, 연회장, 웨딩홀 등"
104,강원,삼척시,콘도미니엄,씨스포빌 콘도,박상무 외 1,영업중,,,지하1~지상4층,"36,574 ","12,481 ",101 ,강원도 삼척시 근덕면 상맹방길30-80,"수영장,일반음식점노래방, 세미나실,편의점,바베큐장"
105,강원,삼척시,콘도미니엄,쏠비치 리조트 삼척,최주영,영업중,,,지하4층 ~ 지상 10층,"110,254 ","71,106 ",492 ,강원도 삼척시 수로부인길 453 (갈천동),"붸페식당,베이커리,
굿앤굿스 등 "
106,강원,홍천군,콘도미니엄,소노벨 타워 C 비발디파크,㈜소노호텔앤리조트,영업중,,,지하1층~지상12층 ,"19,941 ","29,717 ",375 ,강원도 홍천군 서면 한치골길 262,"스포츠용품점, 일반음식점, 세미나실,
세탁실, 상점 등"
107,강원,홍천군,콘도미니엄,소노벨 타워 B 비발디파크,㈜소노호텔앤리조트,영업중,,,지하2층~지상20층 ,"46,019 ","66,118 ",715 ,강원도 홍천군 서면 한치골길 262,"일반음식점, 직원식당, 사우나, 상점 등"
108,강원,홍천군,콘도미니엄,소노벨 타워 D 비발디파크,㈜소노호텔앤리조트,영업중,,,지하1층~지상19층 ,"46,658 ","74,476 ",523 ,강원도 홍천군 서면 한치골길 262,"일반음식점, 휴게음식점, 대중소연회장,
상점 등"
109,강원,홍천군,콘도미니엄,소노펠리체 비발디파크,㈜소노호텔앤리조트,영업중,,,지하3층~지상17층 ,"57,332 ","133,715 ",504 ,강원도 홍천군 서면 한치골길 262,"수영장, 일반목욕탕, 상점, 일반음식점,
연회장 등"
