관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
1668,경상남도,거제시,관광호텔,(주)웰리브 애드미럴호텔,㈜웰리브,영업중,3성,2018.04.30,지하1~지상3,"7,399","7,467",129,경상남도 거제시 서간도길 16(옥포동),"제과점, 커피숍"
1669,경상남도,거제시,관광호텔,거제삼성호텔,삼성중공업㈜,영업중,5성,2017.10.17,지하2~지상12,"24,797","11,255",166,경상남도 거제시 장평3로 80-37(장평동),"식당, 바, 커피숍, 베이커리, 대연회장, 미팅룸, 실내수영장,사우, 헬스클럽"
1670,경상남도,거제시,관광호텔,관광호텔 상상속의 집,,영업중,3성,2019.03.14,지하1~지상4,"5,811","4,301",30,경상남도 거제시 일운면 거제대로 2752,일반음식점
1671,경상남도,거제시,관광호텔,호텔리베라거제,㈜관악,영업중,3성,2019.04.18,지하3~지상8,"5,263","15,682",89,경상남도 거제시 일운면 거제대로 2190,"일반음식점, 대연회장, 소연회장"
1672,경상남도,거제시,관광호텔,래디언스관광호텔,㈜래디언스관광호텔,영업중,1성,2019.06.30,지상6,"2,184","1,553",30,경상남도 거제시 옥포대첩로 425(덕포동),일반음식점
1673,경상남도,거제시,관광호텔,더럭스관광호텔,,영업중,1성,2018.03.29,지상7,398,935,31,경상남도 거제시 장승포로 93-1(장승포동),일반음식점
1674,경상남도,거제시,관광호텔,아르누보스위트호텔,,영업중,2성,2017.12.19.,지하2~지상12,584,"5,669",65,경상남도 거제시 장평1로 13,레스토랑
1675,경상남도,거제시,가족호텔,바람의언덕호텔&리조트,,영업중,,,지하1~지상3,"1,328","1,305",30,경상남도 거제시 남부면 해금강로 132,"레스토랑, 전망휴게실, 가족휴게실, 매점"
1676,경상남도,거제시,가족호텔,오아시스호텔,,영업중,,,지하1~지상5,"9,991","9,224",155,경상남도 거제시 장평4로2길 11-9(장평동),레스토랑
1677,경상남도,거제시,가족호텔,호텔리베라거제,㈜관악,영업중,,,지하3~지상8,"4,596","15,682",49,경상남도 거제시 일운면 거제대로 2190,"일반음식점, 사우나"
1678,경상남도,거제시,가족호텔,도야거제가족호텔,,영업중,,,지하3~지상4,"2,842","3,291",50,경상남도 거제시 일운면 거제대로 2244,"수영장, 바비큐장"
1679,경상남도,거제시,가족호텔,거제뷰 골프텔,㈜다원종합건설,영업중,,,지하1~지상5,"8,853","2,763",40,경상남도 거제시 거제면 두동로 250-80,바비큐장
1680,경상남도,거제시,가족호텔,거제오션호텔,거제오션호텔㈜,영업중,,,지상10,"1,123","5,284",85,경상남도 거제시 옥포로2길 13(옥포동),레스토랑
1681,경상남도,거제시,가족호텔,거제돔관광호텔,거제돔관광호텔㈜,영업중,,,지하2~지상4,"5,067","5,856",55,경상남도 거제시 일운면 거제대로 2372,"레스토랑, 커피숍, 편의점"
1682,경상남도,거제시,가족호텔,프래밀리가족호텔,,영업중,,,지하2~지상6,"4,417","4,198",37,경상남도 거제시 일운면 거제대로 2308,레스토랑
1683,경상남도,거제시,가족호텔,코델리아호텔,(주)에스코,영업중,,,지하2~지상12,802,"4,975",63,경상남도 거제시 장평1로9길 21-4,레스토랑
1684,경상남도,거제시,가족호텔,아르누보스위트호텔,,영업중,,,지하2~지상12,584,"5,669",31,경상남도 거제시 장평1로 13,레스토랑
1685,경상남도,거제시,가족호텔,한화리조트 거제 벨버디어,한화호텔앤드리조트㈜,영업중,,,지하5~지상10,"42,555","91,984",44,경상남도 거제시 장목면 거제북로 2501-40,"연회장 및 세미나실, 일반음식점, 유기시설, 실내수영장 등"
1686,경상남도,거제시,호스텔,거제도게스트하우스,,영업중,,,지상2,755,585,35,"경상남도 거제시 옥포로19길 21, 2층(옥포동)",문화정보교류센터
1687,경상남도,거제시,호스텔,홈포레스트리조트,㈜홈포레스트,영업중,,,지하1~지상4,"7,267","4,177",31,경상남도 거제 국산로 24-17,"수영장, 놀이터"
1688,경상남도,거제시,호스텔,메종드거제,,영업중,,,지상5,365,954,15,경상남도 거제시 능포로 114,"커피숍, 문화정보교류센터"
1689,경상남도,거제시,호스텔,W&B게스트하우스,,영업중,,,지상2,342,176,6,경상남도 거제시 장승포로5길 14,"문화정보교류센터, 전시공간"
1690,경상남도,거제시,소형호텔,선셋힐링파크관광(소형)호텔,,영업중,,,지하2~지상4,"6,176","2,517",20,경상남도 거제시 하청면 연하해안로 1076-1,"카페, 식당"
1691,경상남도,거제시,콘도미니엄,소노캄거제,㈜대명호텔앤리조트,영업중,,,지하4~지상28,"49,176","101,627",516,경상남도 거제시 일운면 거제대로 2660,"코인세탁실, 노래방, 매점, 레스토랑"
1692,경상남도,거제시,콘도미니엄,한화리조트 거제 벨버디어,한화호텔앤드리조트㈜,영업중,,,지하5~지상17,"42,555","91,984",427,경상남도 거제시 장목면 거제북로 2501-40,"연회장 및 세미나실, 일반음식점, 유기시설, 실내수영장 등"
1693,경상남도,양산시,관광호텔,베니키아 양산호텔,"박동규, 김국현",영업중,3성,2018-08-30,11,"1,636","4,879",82,경상남도 양산시 동면 금오10길 51,"미팅룸, 피트니스짐, 셀프세탁실, 웨딩홀, 카페라운지 등"
1694,경상남도,양산시,관광호텔,브라운도트호텔,강광철,영업중,,등급 결정 전,9,499,"1,799",42,경상남도 양산시 삼호로 197-16,"일반음식점, 회의실 등"
1695,경상남도,양산시,콘도미니엄,양산 에덴밸리리조트 콘도미니엄,㈜신세계개발,영업중,-,-,10,"126,324","25,972",255,경상남도 양산시 원동면 어실로 1206,"사우나, 찜질방, 노래방, 마트, 당구장, 오락실, 음식점, 연회장 등"
1696,경상남도,양산시,콘도미니엄,통도환타지아 콘도미니엄,㈜동일리조트,휴업중,-,-,15,"31,077","29,233",140,경상남도 양산시 통도7길 68,"편의점, 일반음식점, 카페, 연회장 등"
1697,경상남도,창녕군,관광호텔,로얄관광호텔,,영업중,1성,2018-08-30,,,,124,경상남도 창녕군 부곡면 온천중앙로 3,
1698,경상남도,창녕군,가족호텔,부곡스파디움·따오기호텔,,영업중,해당없음,1923-12-12,,,,80,경상남도 창녕군 부곡면 온천중앙로 42,
1699,경상남도,창녕군,콘도미니엄,(주)일성부곡콘도미니엄,일성레저산업㈜,영업중,,,,,,247,창녕군 부곡면 온천로 594 ,
1700,경상남도,창녕군,콘도미니엄,(주)레이크힐스골프텔부곡,(주)레이크힐스리조트부곡,휴업중,,,,,,164,창녕군 부곡면 온천2길 41 ,
1701,경상남도,고성군,소형호텔,오션스파호텔,정영자,영업중,1성,2020-04-16,"지하2층
지상4층","1,821","2,777",27,경남 고성군 고성읍 신월로 60,"목옥장, 일반음식점"
1702,경상남도,고성군,콘도미니엄,고성 Nobel 컨트리 클럽,(주)고성관광개발,영업중,,,,"59,004",,32,경상남도 고성군 회화면 회진로 567,매점
1703,경상남도,남해군,가족호텔,남해시즌Family호텔,송용운,영업중,,,7(6~1),"10,161","2,505",38,경상남도 남해군 삼동면 동부대로1122번길 132-52,
1704,경상남도,남해군,가족호텔,남해스포츠파크호텔,㈜미소,영업중,,,10(1~9),"10,216","10,216",95,경상남도 남해군 서면 스포츠파크길 73,
1705,경상남도,남해군,가족호텔,라피스호텔,주식회사 선경개발,영업중,,,7(2~5),"3,587","6,165",52,경상남도 남해군 창선면 서부로 1503-16,
1706,경상남도,남해군,호스텔,서상게스트하우스,남해군,영업중,,,2(0~2),"39,852",825,4,경상남도 남해군 서면 남서대로1687번길 28-12,
1707,경상남도,남해군,콘도미니엄,아난티 남해,아난티 남해,영업중,,,5(1~4),"77,530","34,772",170,경상남도 남해군 남면 남서대로1179번길 40-101,소매점 등
1708,경상남도,남해군,콘도미니엄,남해베네치아리조트,㈜엔에스씨,영업중,,,5(2~3),"5,048","4,987",56,경상남도 남해군 미조면 미송로 249-11,소매점 등
1709,경상남도,남해군,콘도미니엄,남해사우스케이프오너스클럽,주식회사 사우스케이프,영업중,,,5(2~3),"122,881","8,163",49,경상남도 남해군 창선면 흥선로 1545,소매점 등
1710,경상남도,하동군,콘도미니엄,비바체 하동호 리조트,(주)리아타운,영업중,,,16층(지하3~지상13),"5,272","18,543",162,경남 하동군 청암면 청학로 876,"식당, 매점, 야외수영장"
1711,경상남도,하동군,콘도미니엄,켄싱턴 리조트 지리산 하동,(주)이랜드파크,영업중,,,11층(지하2~지상9),"5,694","15,152",115,경남 하동군 화개면 쌍계로 532-6,"식당, 편의점, 연회장, 기념품판매장, 커피라운지"
1712,경상남도,산청군,가족호텔,산청한방가족호텔㈜,산청한방가족호텔 주식회사,영업중,미대상,해당사항없음,"4층-지하1층,지상3층","9,536","9,146",108,산청군 금서면 동의보감로479번길 43,해당사항없음
1713,경상남도,산청군,콘도미니엄,신세계리조트,신세계리조트,영업중,해당사항없음,해당사항없음,"7층-지하1층,지상6층","3,945","3,367",62,산청군 금서면 친환경로 1715,해당사항없음
1714,경상남도,함양군,관광호텔,호텔 라온,부흥개발 주식회사,영업중,2성,2017.5.11,5(지상),"2,117","2,074",34, 경상남도 함양군 함양읍 함양로 1148-2 ,"일반음식점, 소매점"
1715,경상남도,함양군,콘도미니엄,스카이뷰컨트리클럽,㈜경남관광호텔,영업중,,,4(지하1~지상3층),"8,962","5,016",55,경상남도 함양군 서상면 소로길 237,"매점, 세미나실 등"
1716,경상남도,거창군,가족호텔,HOTEL GA JO,패밀리관광호텔㈜,영업중,,,"4층(지하1층, 지상3층)","6,266","4,848",31,경상남도 거창군 가조면 온천길 108-11,"노래방, 세탁실, 목욕탕, 안내실, 일반음식점, 편의점, 개실, 회의실, 오락실, PC방, 다목적홀, 지원실"
1717,경상남도,합천군,관광호텔,㈜해인사관광호텔,㈜해인사관광호텔,영업중,등급미신청,-,지하1층~지상4층,"6,233","6,796",70,합천군 가야면 치인1길 13-45,연회장
1718,제주특별자치도,서귀포시,관광호텔,(주)호텔신라 제주신라,㈜호텔신라,영업중,5,2017.06.30,"지하2층, 지상5층","87,283.00 ","56,489.71 ",429,서귀포시 중문관광로72번길 75 (색달동 3039-3),"수영장, 음식점, 체온관리실, 무대  등"
1719,제주특별자치도,서귀포시,관광호텔,㈜호텔롯데 롯데호텔 제주,㈜호텔롯데,영업중,5,2016.05.09.,"지하7층,지상7층","84,972.00 ","86,400.93 ",500,서귀포시 중문관광로72번길 35 (색달동 2812-4),"수영장, 음식점, 회의실, 키즈카페 등"
1720,제주특별자치도,서귀포시,관광호텔,더 쇼어호텔 제주,㈜아주호텔제주,휴업중,5,2017.06.30.,"지하4층,지상8층","44,023.20 ","28,015.34 ",224,서귀포시 중문관광로72번길 114 (색달동 3039-1),"수영장, 음식점 , 회의실 등"
1721,제주특별자치도,서귀포시,관광호텔,㈜교원 스위트호텔 제주,㈜교원,영업중,5,2018.07..01.,"지하1층,지상3층","10,255.00 ","8,197.43 ",90,서귀포시 중문관광로72번길 67 (색달동 2812-10),"어린이휴게시설, 소연회장, 휘트니스센터, 휴게실"
1722,제주특별자치도,서귀포시,관광호텔,서귀포KAL호텔,㈜칼호텔네트워크,영업중,5,2018.1.31.,"지하2층, 지상9층","70,137.00 ","22,187.14 ",225,서귀포시 칠십리로 242  (토평동),"수영장, 음식점"
1723,제주특별자치도,서귀포시,관광호텔,해비치호텔,해비치호텔앤드리조트㈜,영업중,5,2017.06.30,"지하1층, 지상8층","26,303.00 ","44,543.81 ",288,서귀포시 표선면 민속해안로 537(표선리 40-76),"수영장, 음식점"
1724,제주특별자치도,서귀포시,관광호텔,WE호텔,의료법인 한라의료재단,영업중,5,2018.04.30,지상3층,"29,980.00 ","4,610.78 ",86,서귀포시 1100로 453-95(회수동 30),일반음식점
1725,제주특별자치도,서귀포시,관광호텔,(주)호텔하나,㈜호텔하나,영업중,3,2019.07.24.,"지하1층,지상3층","6,750.00 ","5,690.34 ",85,서귀포시 중문관광로72번길 53(색달동 2812-2),
1726,제주특별자치도,서귀포시,관광호텔,CASALOMA HOTEL,주식회사 호텔일구칠사,영업중,등급없음,,"지하3층,지상9층","1,535.51 ","7,220.20 ",108,서귀포시 태평로 347 (서귀동 314-1),
1727,제주특별자치도,서귀포시,관광호텔,헤이서귀포,㈜와이시너지,영업중,등급없음,,"지하3층,지상6층","2,995.90 ","12,136.00 ",134,서귀포시 태평로 363  (서귀동 820-1),
1728,제주특별자치도,서귀포시,관광호텔,주식회사 호텔크리스탈,㈜호텔크리스탈,휴업중,등급없음,,"지하2층,지상6층",653.00 ,"3,647.35 ",72,서귀포시 중정로 16(서귀동 316-4),
1729,제주특별자치도,서귀포시,관광호텔,호텔굿인 서귀포,양완준,영업중,등급없음,,지상7층,324.47 ,"1,476.46 ",41,서귀포시 태평로439번길 14(서귀동 411-13) ,
1730,제주특별자치도,서귀포시,관광호텔,호텔 테디밸리,㈜제이에스앤에프,영업중,3,2018.09.30.,"지하2층, 지상3층","10,410.00 ","6,788.23 ",72,서귀포시 안덕면 한창로 365(상창리 2892),
1731,제주특별자치도,서귀포시,관광호텔,부영CC관광호텔,㈜부영CC,영업중,1,2018.09.30.,"지하1층, 지상3층","16,066.00 ","5,811.72 ",74,서귀포시 남원읍 남조로 960(수망리 628-8),
1732,제주특별자치도,서귀포시,관광호텔,파인힐호텔,허순화,영업중,2,2016.10.09.,"지하1층, 지상3층","1,262.00 ","1,950.51 ",55,서귀포시 부두로 44(서귀동 776-1),커피숍
1733,제주특별자치도,서귀포시,관광호텔,호텔랑주,"최지혜, 고종림",영업중,2,2018.01.31.,"지하1층, 지상5층",440.70 ,"1,335.57 ",31,서귀포시 김정문화로27번길 23-3(강정동 160-2),
1734,제주특별자치도,서귀포시,관광호텔,호텔빠레브 주식회사,호텔빠레브 주식회사,영업중,4,2019.05.26.,"지하2층, 지상9층","3,868.10 ","14,258.39 ",204,서귀포시 김정문화로 15(강정동 173),
1735,제주특별자치도,서귀포시,관광호텔,호텔 스카브로,㈜소프트라인,영업중,등급없음,,"지하1층, 지상4층","9,296.00 ","4,944.89 ",41,서귀포시 예래해안로 15(하예동 1796-1 외 2필지),
1736,제주특별자치도,서귀포시,관광호텔,아리아호텔,㈜호텔익스프레스,영업중,등급없음,,"지하1층, 지상4층","3,317.00 ","3,078.15 ",51,서귀포시 중문관광로 23-1(색달동 2508),
1737,제주특별자치도,서귀포시,관광호텔,글래드호텔앤리조트㈜제주항공우주호텔,글래드호텔앤리조트㈜,휴업중,4,2017.11.30.,"지하1층, 지상5층","21,309.80 ","10,021.65 ",110,서귀포시 안덕면 녹차분재로 216(서광리 산39),
1738,제주특별자치도,서귀포시,관광호텔,그랜드조선 제주,㈜신세계조선호텔,영업중,등급없음,,"지하2층, 지상4층","33,002.00 ","31,750.00 ",198,서귀포시 중문관광로72번길 60(색달동 2785),
1739,제주특별자치도,서귀포시,관광호텔,호텔 캘리포니아,㈜캘리포니아,영업중,등급없음,,"지하1층, 지상9층",580.20 ,"2,684.17 ",64,서귀포시 김정문화로 27번길 14-4(강정동 164-1),
1740,제주특별자치도,서귀포시,관광호텔,풍경호텔,정현재,영업중,등급없음,,"지하2, 지상4층","2,272.00 ","2,796.34 ",48,서귀포시 남성중로 147(서홍동 586),
1741,제주특별자치도,서귀포시,관광호텔,호텔화인,㈜호텔화인,영업중,등급없음,,"지하1층, 지상7층","1,276.00 ","5,268.63 ",96,서귀포시 칠십리로 87(서귀동 782-3),
1742,제주특별자치도,서귀포시,관광호텔,베니키아 중문호텔,㈜한울,영업중,3,2019.09.17.,"지하1층,지상6층",565.00 ,"2,646.98 ",45,서귀포시 천제연로 166(중문동 2115-1),
1743,제주특별자치도,서귀포시,관광호텔,제주 부영호텔 & 리조트,㈜부영주택,영업중,5,2019.03.07.,지하2~지상8층,"20,900.00 ","42,052.59 ",262,서귀포시 중문관광로 222(중문동 2700-2),"로비라운지바, 레스토랑, 수영장, 피트니스센터, 사우나, 대연회장"
1744,제주특별자치도,서귀포시,관광호텔,파크선샤인제주관광호텔,㈜선샤인,영업중,3,2019.07.24.,지하1~지상4층,"4,942.00 ","5,718.29 ",105,서귀포시 남성중로 135(서홍동 637),
1745,제주특별자치도,서귀포시,관광호텔,비케이호텔인제주,정재훈,영업중,3,2016.10.09.,지하1~지상6층,866.00 ,"2,941.04 ",55,서귀포시 칠십리로91번길 12(서귀동 777-1)),
1746,제주특별자치도,서귀포시,관광호텔,블루마운틴관광호텔,㈜청산,영업중,3,2019.05.23.,지하1~지상5층,490.00 ,"1,684.98 ",38,서귀포시 성산읍 일출로 297(성산리 196-5),
1747,제주특별자치도,서귀포시,관광호텔,휴식호텔 중문오션블루,탁규민,영업중,등급없음,,지하2~지상4층,961.00 ,"1,530.99 ",30,서귀포시 이어도로 67(대포동 2538),
1748,제주특별자치도,서귀포시,관광호텔,제주리시온관광호텔,㈜동산관광,영업중,1,2019.03.07.,지하1~지상9층,550.77 ,"2,578.77 ",77,서귀포시 표선면 표선동서로 263(표선리 591-1)  ,
1749,제주특별자치도,서귀포시,관광호텔,유어스호텔,"이미자, 임동수",영업중,3,2017.06.30.,지하2~지상6층,"1,290.00 ","4,989.17 ",83,서귀포시 천제연로 178번길 21(중문동 2129-2),
1750,제주특별자치도,서귀포시,관광호텔,그랜드메르호텔 제주,리켄코리아㈜,영업중,2,2017.06.30.,지하1~지상4층,"8,212.00 ","4,870.01 ",94,서귀포시 논짓물로 45(하예동 460-1 외 11필지),
1751,제주특별자치도,서귀포시,관광호텔,제주스테이,㈜해비치인,영업중,등급없음,,지상4층,"4,216.00 ","3,327.63 ",80,서귀포시 성산읍 신고로 11(고성리 496-2 외 2필지),
1752,제주특별자치도,서귀포시,관광호텔,히든클리프호텔&네이쳐,예래클리프개발㈜,영업중,5,2017.06.30,지하4~지상4층,"17,874.00 ","23,788.21 ",250,서귀포시 예래해안로 542(상예동 625),
1753,제주특별자치도,서귀포시,관광호텔,성산썬라이즈호텔,유한회사 다올,영업중,2,2017.06.30.,"지하1층, 지상4층","1,125.00 ","2,483.19 ",47,서귀포시 성산읍 성산등용로17번길 35(성산리 169-16),휴게음식점(지상1층 161.64㎡) 
1754,제주특별자치도,서귀포시,관광호텔,호텔더본제주,㈜더본코리아,영업중,4,2017.11.30.,"지하1층, 지상4층","9,567.00 ","12,489.56 ",139,서귀포시 색달로 18(색달동 2138),"조식당, 연회장, 회의장, 편의점, 피트니스센터,카페, 코인세탁실, 일반음식점(중식당), 일반음식점(한식당),피부미용실"
1755,제주특별자치도,서귀포시,관광호텔,playce(플레이스),플레이스포㈜,영업중,4,2017.11.30.,"지하2층, 지상4층","9,930.00 ","7,260.76 ",235,"서귀포시 성산읍 동류암로 20(고성리 297-1, 296-6, 296-10)","휴게음식점, 제과점, 일반음식점, 도소매점, 연회장"
1756,제주특별자치도,서귀포시,관광호텔,제주 티라 호텔,"김영보, 김윤형",영업중,2,218.04.30.,지상4층,"2,616.00 ","1,467.56 ",30,서귀포시 성산읍 섭지코지로25번길 41,"한식당(일반음식점), 카페(일반음식점)"
1757,제주특별자치도,서귀포시,관광호텔,제주신화월드 호텔 앤 리조트,람정제주개발㈜,영업중,등급없음,,"지하2~지상5층 1동, 지상1층 2동","226,529.70 ","188,936.71 ","1,720",서귀포시 안덕면 신화역사로304번길 38,음식점 등 총63개소
1758,제주특별자치도,서귀포시,관광호텔,호텔 아루미,(유)다올,영업중,3,2019.07.24.,지하1층~지상4층,"3,089.00 ","3,440.69 ",78,서귀포시 색달중앙로 38,"조식당, 사무실, 회의실&세미나실, 소매점, 일반음식점"
1759,제주특별자치도,서귀포시,관광호텔,골드윈호텔&스위트,오렌지개발 주식회사,영업중,등급없음,,지하2층~지상4층,"3,584.00 ","4,859.44 ",51,서귀포시 이어도로 1032,"레스토랑,BAR, 별관(회의실, 휘트니스 등)"
1760,제주특별자치도,서귀포시,관광호텔,(주)신세계조선호텔 그랜드조선 제주 힐스윗,㈜신세계조선호텔,영업중,등급없음,,지하1층~지상5층,"15,398.00 ","12,741.05 ",50,,
1761,제주특별자치도,서귀포시,한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,씨에스개발㈜,영업중,5,2019.03.07.,지상1층,"28,184 ","3,453.18",26,서귀포시 중문관광로 198  (중문동 2563-1) ,
1762,제주특별자치도,서귀포시,가족호텔,그랑빌 가족호텔,유한회사 그랑빌,영업중,해당없음,,지상3층," 3,857.00 "," 1,929.68 ",42,서귀포시 중문관광로 17  (색달동 2512),
1763,제주특별자치도,서귀포시,가족호텔,중문빌리지 가족호텔,왕대위,영업중,해당없음,,지하1~지상5층," 1,209.00 "," 2,056.41 ",30,서귀포시 예래로 270(하예동 141),
1764,제주특별자치도,서귀포시,가족호텔,송악리조트,"윤영철, 윤영범, ",영업중,해당없음,,지하1~지상3층," 5,053.00 "," 1,993.20 ",30,"서귀포시 대정읍 형제해안로 256-5, 256-6 , 256-8",
1765,제주특별자치도,서귀포시,가족호텔,담앤루,"오윤정, 오현정",영업중,해당없음,,지하1~지상3층," 9,902.00 "," 3,953.10 ",43,서귀포시 이어도로343번길 63  (대포동 1174),
1766,제주특별자치도,서귀포시,가족호텔,뷰티플리조트,전미숙,영업중,해당없음,,지하1~지상3층," 2,352.00 "," 1,121.53 ",32,서귀포시 이어도로253번길 2  (대포동 1266),
1767,제주특별자치도,서귀포시,가족호텔,중문리조트,허영미,영업중,해당없음,,지하1~지상3층," 3,953.26 "," 3,074.24 ",44,서귀포시 색달로 117(색달동 1821-3),
1768,제주특별자치도,서귀포시,가족호텔,아라온리조트,㈜아라온,영업중,해당없음,,지하1~지상3층," 6,902.00 "," 4,133.04 ",55,서귀포시 소보리당로 220(상예동 2852 외 3필지),
1769,제주특별자치도,서귀포시,가족호텔,중문통나무가족호텔,"하동주, 김선미",영업중,해당없음,,지상2층," 4,003.00 "," 1,315.17 ",30,서귀포시 중산간서로594번길 7-28(대포동 249),
1770,제주특별자치도,서귀포시,가족호텔,와이리조트 제주,박재율,영업중,해당없음,,지하1~지상4층," 5,594.00 "," 4,849.94 ",32, 서귀포시 안덕면 화순중앙로124번길 75(화순리 1888),
1771,제주특별자치도,서귀포시,가족호텔,코델리아리조트,㈜코델리아리조트,영업중,해당없음,,지하1~지상4층," 8,381.00 "," 6,808.34 ",104,서귀포시 성산읍 일주동로4120번길 23-20 (오조리 941-1),
1772,제주특별자치도,서귀포시,가족호텔,아름다운리조트,㈜아름다운리조트,영업중,해당없음,,지하1~지상4층," 3,640.00 "," 2,991.16 ",38,서귀포시 성산읍 해맞이해안로 2644(시흥리 5)  ,
1773,제주특별자치도,서귀포시,가족호텔,봄그리고가을리조트,㈜봄그리고가을리조트,영업중,해당없음,,지하1~지상4층," 4,774.00 "," 4,205.29 ",31,서귀포시 성산읍 서성일로 726-11(수산리 2576),
1774,제주특별자치도,서귀포시,가족호텔,엔파제주호텔,엔피엘파트너스제11차자산관리 유한회사,영업중,해당없음,,지하1~지상3층," 4,424.00 "," 2,984.95 ",46,서귀포시 성산읍 해맞이해안로 2660(시흥리 208),
1775,제주특별자치도,서귀포시,가족호텔,H.Y 초이호스텔 ,㈜현영종합건설,영업중,해당없음,,지하1~지상7층, 337.20 ," 1,473.80 ",32,서귀포시 태평로335번길 11-1(서귀동 316-14),
1776,제주특별자치도,서귀포시,가족호텔,파미유리조트 가족호텔,주식회사 파미유,영업중,해당없음,,지하1~지상4층," 3,848.00 "," 1,994.95 ",35,서귀포시 이어도로 826-6(강정동 643),
1777,제주특별자치도,서귀포시,가족호텔,호텔 섬오름,디에스디엘㈜,영업중,해당없음,,지하1~지상3층," 4,140.00 "," 3,494.01 ",53,서귀포시 막숙포로 114(법환동 1513),
1778,제주특별자치도,서귀포시,가족호텔,㈜일레인,㈜일레인,영업중,해당없음,,지하1~지상4층," 3,220.00 "," 2,412.57 ",42,서귀포시 일주서로 660(회수동 659),
1779,제주특별자치도,서귀포시,가족호텔,봄그리고가을 가족호텔,㈜제주애,영업중,해당없음,,지하1~지상4층," 4,981.00 "," 4,488.39 ",86,서귀포시 성산읍 해맞이해안로 2652(시흥리 205),
1780,제주특별자치도,서귀포시,가족호텔,토스카나호텔,㈜토스카나,영업중,해당없음,,지하1~지상4층," 21,026.00 "," 8,959.66 ",65,서귀포시 용흥로66번길158-7(강정동),
1781,제주특별자치도,서귀포시,가족호텔,성산아쿠아비치호텔,㈜성산아쿠아비치호텔,영업중,해당없음,,지하1~지상5층," 2,425.00 "," 4,470.00 ",61,서귀포시 성산읍 일주동로 4258(고성리 1090-16),
1782,제주특별자치도,서귀포시,가족호텔,호텔아로하,"이점순, 김주현,  신종곤",영업중,해당없음,,지하1~지상5층," 1,067.00 "," 2,243.00 ",34,서귀포시 성산읍 성산등용로 40(성산리 382-31),
1783,제주특별자치도,서귀포시,가족호텔,더포그레이스호텔앤리조트,㈜더포그레이스호텔앤리조트,영업중,해당없음,,지하1~지상4층," 9,990.00 "," 7,729.00 ",144,서귀포시 성산읍 해맞이해안로 2670(시흥리 200),
1784,제주특별자치도,서귀포시,가족호텔,더클라우드 가족호텔,주왕산업개발㈜,영업중,해당없음,,지하1~지상2층," 4,953.00 "," 1,752.00 ",30,서귀포시 성산읍 한도로 269-37(성산리 308),
1785,제주특별자치도,서귀포시,가족호텔,브리즈베이호텔,㈜브리즈베이호텔,영업중,해당없음,,지상5층," 1,097.00 "," 2,613.16 ",40,서귀포시 성산읍 성산등용로 42(성산리 382-6),
1786,제주특별자치도,서귀포시,가족호텔,제이뷰호텔,김동규,영업중,해당없음,,지하1~지상3층," 4,917.00 "," 2,604.71 ",37,서귀포시 중산간서로 935(색달동 1622-2),
1787,제주특별자치도,서귀포시,가족호텔,호텔 휴식 서귀포,㈜휴식 서귀포,영업중,해당없음,,지하1~지상10층, 451.90 ," 2,654.98 ",74,서귀포시 중앙로 71번길 17(서귀동 308-2),
1788,제주특별자치도,서귀포시,가족호텔,코델리아S호텔,(주)코델리아리조트,영업중,해당없음,,지하1~지상4층," 9,904.00 "," 10,772.13 ",236,서귀포시 성산읍 일주동로 4186(오조리 990-1),
1789,제주특별자치도,서귀포시,가족호텔,썬라이즈호텔 섭지코지점,(유)다올,영업중,해당없음,,지하1~지상4층," 1,170.00 "," 1,808.22 ",40,서귀포시 성산읍 신양로 83(고성리 510-6),
1790,제주특별자치도,서귀포시,가족호텔,제이앤비 가족호텔,허윤지,영업중,해당없음,,"지하1층,지상4층"," 3,160.00 "," 2,284.87 ",31,서귀포시 토평남로30번길 10-8(토평동),
1791,제주특별자치도,서귀포시,가족호텔,글레즈하임호텔,글레즈하임호텔주식회사,영업중,해당없음,,지하1~지상4층," 3,139.00 "," 3,653.16 ",42,서귀포시 이어도로 777(강정동),
1792,제주특별자치도,서귀포시,호스텔,누가빌리지호스텔,㈜누가의료기,영업중,해당없음,,지상2층,"8,364.00 ","2,176.38 ",36,서귀포시 산록남로 2704(토평동 3201),
1793,제주특별자치도,서귀포시,호스텔,제이하우스,㈜제이하우스,영업중,해당없음,,지하1~지상2층,"4,094.00 ","1,561.60 ",21,서귀포시 중산간서로 241(강정동 3786-1),
1794,제주특별자치도,서귀포시,호스텔,비울채울,박홍제,영업중,해당없음,,지하1~지상3층,"1,334.00 ",583.89 ,20,서귀포시 검은여로130번길 73(보목동 1569),
1795,제주특별자치도,서귀포시,호스텔,가산토방 호스텔,"김귀자,엄윤호",영업중,해당없음,,지상1층,"7,469.00 ","1,398.95 ",28,"서귀포시 인정오름로86번길 3(토평동 3077, 3079-1)",
